Questions,Queries
What is the text representation of the awards won and nominations received by the movie Westfront 1918?,"db.movies.find({""title"": ""Westfront 1918""}, { ""awards.text"": 1})"
who directed è Nous la Libertè?,"db.movies.find({""title"": ""è Nous la Libertè""}, {""directors"": 1})"
who directed the movie Blacksmith Scene?,"db.movies.find({""title"": ""Blacksmith Scene""}, {""directors"": 1})"
What is the MongoDB document ID of the movie Topaze?,"db.movies.find({""title"": ""Topaze""}, {""_id"": 1})"
what is the movie Disraeli description ?,"db.movies.find({""title"": ""Disraeli""}, {""plot"": 1})"
what kind of movie is Becky Sharp?,"db.movies.find({""title"": ""Becky Sharp""}, {""genres"": 1})"
What is the imdbID and year of release for the movie with a title of 'Les Misèrables'?,"db.movies.find({""title"": ""Les Misèrables""}, {""imdb.id"": 1, ""year"": 1, ""_id"": 0})"
what was the release date of The Perils of Pauline?,"db.movies.find({""title"": ""The Perils of Pauline""}, {""released"": 1})"
What is the production company behind the movie Secret Agent ?,"db.movies.find({""title"": ""Secret Agent""}, {""tomatoes.production"": 1})"
What is the website associated with the movie The Land Beyond the Sunset on Rotten Tomatoes?,"db.movies.find({""title"": ""The Land Beyond the Sunset""}, {""tomatoes.website"": 1})"
who wrote the screenplay for the movie Zero for Conduct?,"db.movies.aggregate([ { ""$match"": { ""title"":""Zero for Conduct""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
"San Francisco, was written by who?","db.movies.find({""title"": ""San Francisco""}, {""writers"": 1})"
what was the release date of the film The Green Pastures?,"db.movies.find({""title"": ""The Green Pastures""}, {""released"": 1})"
What is the MongoDB document ID of the movie King Solomon's Mines?,"db.movies.find({""title"": ""King Solomon's Mines""}, {""_id"": 1})"
What is the production company behind the movie The Circus ?,"db.movies.find({""title"": ""The Circus""}, {""tomatoes.production"": 1})"
what is the film David Copperfield about in details?,"db.movies.find({""title"": ""David Copperfield""}, {""fullplot"": 1})"
In what language was the movie Twentieth Century released?,"db.movies.find({ ""title"": ""Twentieth Century"" }, { ""languages"": 1})"
"Little Women, was written by who?","db.movies.find({""title"": ""Little Women""}, {""writers"": 1})"
What is the IMDb rating for The Chechahcos?,"db.movies.find({""title"": ""The Chechahcos""}, {""imdb.rating"": 1})"
What languages are spoken in the movie A Damsel in Distress?,"db.movies.find({""title"":""A Damsel in Distress""}, {""languages"":1})"
What are the genres this movie Gold Diggers of 1933 belongs to?,"db.movies.find({""title"":""Gold Diggers of 1933""}, {""genres"":1})"
What is the name of the director and cast for the movie 'The Kid Brother'?,"db.movies.find({""title"": ""The Kid Brother""}, {""directors"": 1, ""cast"": 1, ""_id"": 0})"
What are the genres associated with the movie Curly Top ?,"db.movies.find({ ""title"": ""Curly Top"" }, { ""genres"": 1})"
what year was the movie Metropolis released?,"db.movies.find({""title"": ""Metropolis""}, {""year"": 1})"
How many comments have been posted by users on the movie The Gold Rush's page on the Mflix platform?,"db.movies.find({ ""title"": ""The Gold Rush"" }, { ""num_mflix_comments"": 1 })"
What is the MPAA rating of the film The Lost Patrol?,"db.movies.find({""title"":""The Lost Patrol""}, {""rated"":1})"
What are the names of all the actors who starred in the movie 'The Prisoner of Shark Island'?,"db.movies.find({""title"": ""The Prisoner of Shark Island""}, {""cast"": 1})"
what is the film Cimarron about in details?,"db.movies.find({""title"": ""Cimarron""}, {""fullplot"": 1})"
What is the language of the movie For Heaven's Sake?,"db.movies.find({""title"":""For Heaven's Sake""}, {""languages"":1})"
what is the full plot for The Private Life of Don Juan?,"db.movies.find({""title"": ""The Private Life of Don Juan""}, {""fullplot"": 1})"
what is the genre for the film Three Little Pigs?,"db.movies.find({""title"": ""Three Little Pigs""}, {""genres"": 1})"
what is Robin Hood about?,"db.movies.find({""title"": ""Robin Hood""}, {""plot"": 1})"
who directed Scarface?,"db.movies.find({""title"": ""Scarface""}, {""directors"": 1})"
What is the imdbID and year of release for the movie with a title of 'Dante's Inferno'?,"db.movies.find({""title"": ""Dante's Inferno""}, {""imdb.id"": 1, ""year"": 1, ""_id"": 0})"
What is the MPAA rating of the movie Swedenhielms Family?,"db.movies.find({""title"":""Swedenhielms Family""}, {""rated"":1})"
What is the production company of The Guardsman?,"db.movies.find({""title"":""The Guardsman""}, {""tomatoes.production"":1})"
What is the imdbID and genre of the movie 'Little Miss Marker'?,"db.movies.find({""title"": ""Little Miss Marker""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
what is the plot for The Blue Light?,"db.movies.find({""title"": ""The Blue Light""}, {""plot"": 1})"
What are the countries associated with the movie The Hurricane ?,"db.movies.find({""title"": ""The Hurricane""}, {""countries"": 1})"
Can you provide a detailed summary of the movie Elephant Boy plot?,"db.movies.find({ ""title"": ""Elephant Boy"" }, { ""fullplot"": 1})"
Can you provide me with a list of Terrence Malick-directed movies with the highest ratings?,"db.movies.find({""directors"": 'Terrence Malick', ""imdb.rating"": {""$gt"": 8.5}})"
What is the running time of the film Harvest?,"db.movies.find({""title"":""Harvest""}, {""runtime"":1})"
How many votes did the movie The Land Beyond the Sunset receive on IMDB?,"db.movies.find({""title"": ""The Land Beyond the Sunset""}, { ""imdb.votes"": 1})"
who stars in the film Payment Deferred?,"db.movies.find({""title"": ""Payment Deferred""}, {""cast"": 1})"
what is the full plot for the movie Naughty Marietta?,"db.movies.find({""title"": ""Naughty Marietta""}, {""fullplot"": 1})"
what is the film The Beloved Vagabond description ?,"db.movies.find({""title"": ""The Beloved Vagabond""}, {""plot"": 1})"
what genre is Broken Lullaby?,"db.movies.find({""title"": ""Broken Lullaby""}, {""genres"": 1})"
who stars in Man with a Movie Camera?,"db.movies.find({""title"": ""Man with a Movie Camera""}, {""cast"": 1})"
How many wins did the movie Where Are My Children? receive?,"db.movies.find({""title"":""Where Are My Children?""}, {""awards.wins"":1})"
When was the Tomatometer score and other Tomato-related information last updated for the movie Our Hospitality?,"db.movies.find({""title"": ""Our Hospitality""}, { ""tomatoes.lastUpdated"": 1})"
who is the director that directed The Sin of Madelon Claudet?,"db.movies.find({""title"": ""The Sin of Madelon Claudet""}, {""directors"": 1})"
Who is the lead actor of the movie Little Women ?,"db.movies.find({""title"": ""Little Women""}, {""cast"":{""$slice"": 1},""title"":1})"
who produced The Story of Louis Pasteur?,"db.movies.find({""title"":""The Story of Louis Pasteur""}, {""tomatoes.production"":1})"
what type of film is Make Way for Tomorrow?,"db.movies.find({""title"": ""Make Way for Tomorrow""}, {""genres"": 1})"
what type of film is The Broadway Melody?,"db.movies.find({""title"": ""The Broadway Melody""}, {""genres"": 1})"
What is the consensus among critics about the movie The Birth of a Nation?,"db.movies.find({""title"": ""The Birth of a Nation""}, { ""tomatoes.consensus"": 1})"
what genre is the film Flesh and the Devil?,"db.movies.find({""title"": ""Flesh and the Devil""}, {""genres"": 1})"
Who are the actors in the movie The 39 Steps?,"db.movies.find({""title"":""The 39 Steps""}, {""cast"":1})"
"Has the film L'opèra de quat'sous won any awards? If so, which ones?","db.movies.find({""title"":""L'opèra de quat'sous"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
what is the plot for the movie Make Way for Tomorrow?,"db.movies.find({""title"": ""Make Way for Tomorrow""}, {""plot"": 1})"
What are the genres associated with the movie Regeneration ?,"db.movies.find({ ""title"": ""Regeneration"" }, { ""genres"": 1})"
What are the highest-rated War movies in the database?,"db.movies.find({""genres"": ""War""}).sort({""imdb.rating"": -1}).limit(10)"
What is the freshness score of the movie The Italian on Rotten Tomatoes?,"db.movies.find({""title"": ""The Italian""}, {""tomatoes.fresh"": 1})"
How many awards did the movie win Grass: A Nation's Battle for Life ?,"db.movies.find({ ""title"": ""Grass: A Nation's Battle for Life"" },{ ""awards.wins"": 1 })"
How many reviews have been submitted for the movie Tarzan and His Mate on Rotten Tomatoes?,"db.movies.find({ ""title"": ""Tarzan and His Mate"" },{ ""tomatoes.viewer.numReviews"": 1 })"
what is The New Gulliver imdb rating?,"db.movies.find({""title"": ""The New Gulliver""}, {""imdb.rating"": 1})"
How many audience reviews have been submitted for the movie Swedenhielms Family ?,"db.movies.find({ ""title"": ""Swedenhielms Family"" },{ ""tomatoes.viewer.numReviews"": 1 })"
which person wrote the movie The Private Life of Don Juan?,"db.movies.find({""title"": ""The Private Life of Don Juan""}, {""writers"": 1})"
What is the imdbID and genre of the movie 'The Crusades'?,"db.movies.find({""title"": ""The Crusades""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
what genre of movie is The Front Page?,"db.movies.find({""title"": ""The Front Page""}, {""genres"": 1})"
what sort of movie is Three Smart Girls?,"db.movies.find({""title"": ""Three Smart Girls""}, {""genres"": 1})"
Was the movie Viva Villa! well received by audiences and critics?,"db.movies.find({""title"":""Viva Villa!""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the rating of the movie The Phantom of the Opera ?,"db.movies.find({ ""title"": ""The Phantom of the Opera"" }, { ""rated"": 1})"
which company produced The Thief of Bagdad?,"db.movies.find({""title"":""The Thief of Bagdad""}, {""tomatoes.production"":1})"
Can you provide more information about the Rotten Tomatoes rating for the movie The Kid Brother?,"db.movies.find({""title"": ""The Kid Brother""}, { ""tomatoes.critic"": 1, ""tomatoes.viewer"": 1, ""tomatoes.consensus"": 1 })"
how many awards did the film The Wedding Night win?,"db.movies.find({""title"":""The Wedding Night""}, {""awards.wins"":1})"
"Has the film City Streets won any awards? If so, which ones?","db.movies.find({""title"":""City Streets"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
What is the movie Moscow Laughs about? Can you provide a brief summary?,"db.movies.find({""title"":""Moscow Laughs""}, {""plot"":1})"
How did the audience and critics receive From Hand to Mouth?,"db.movies.find({""title"":""From Hand to Mouth""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
who is the director of A Night at the Opera?,"db.movies.find({""title"": ""A Night at the Opera""}, {""directors"": 1})"
"who stars in the movie Laugh, Clown, Laugh?","db.movies.find({""title"": ""Laugh, Clown, Laugh""}, {""cast"": 1})"
The Prisoner of Shark Island is a movie written by this person?,"db.movies.find({""title"": ""The Prisoner of Shark Island""}, {""writers"": 1})"
Could you tell me the typical rating of Jacques Rivette movies in the database?,"db.movies.aggregate([{""$match"": {""directors"":""Jacques Rivette""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
What is the MPAA rating of the film Where Are My Children??,"db.movies.find({""title"":""Where Are My Children?""}, {""rated"":1})"
"who stars in the movie Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics?","db.movies.find({""title"": ""Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics""}, {""cast"": 1})"
What is the website associated with the movie Within Our Gates on Rotten Tomatoes?,"db.movies.find({""title"": ""Within Our Gates""}, {""tomatoes.website"": 1})"
what is Cops description?,"db.movies.find({""title"": ""Cops""}, {""plot"": 1})"
what is the film Morocco imdb rating?,"db.movies.find({""title"": ""Morocco""}, {""imdb.rating"": 1})"
What is the plot summary of the movie The Prisoner of Shark Island ?,"db.movies.find({ ""title"": ""The Prisoner of Shark Island"" }, { ""plot"": 1})"
what is the film The Red Head imdb rating?,"db.movies.find({""title"": ""The Red Head""}, {""imdb.rating"": 1})"
Was the movie Men Without Women well received by audiences?,"db.movies.find({""title"":""Men Without Women""}, {""tomatoes.viewer"":1})"
Who are the writers of the movie Two Seconds ?,"db.movies.find({""title"": ""Two Seconds""}, { ""writers"": 1})"
the director of Battling Butler was?,"db.movies.find({""title"": ""Battling Butler""}, {""directors"": 1})"
who wrote the screenplay for These Three?,"db.movies.aggregate([ { ""$match"": { ""title"":""These Three""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
What is the IMDb rating for the movie Modern Times ?,"db.movies.find({""title"":""Modern Times""}, {""imdb.rating"":1})"
the movie Man of Aran starred who?,"db.movies.find({""title"": ""Man of Aran""}, {""cast"": 1})"
In which countries was the movie Dodsworth produced?,"db.movies.find({""title"":""Dodsworth""}, {""countries"":1})"
who acted in the movie Comradeship?,"db.movies.find({""title"": ""Comradeship""}, {""cast"": 1})"
who acted in the film The Docks of New York?,"db.movies.find({""title"": ""The Docks of New York""}, {""cast"": 1})"
What is the audience rating of the movie Man of Aran ?,"db.movies.find({ ""title"": ""Man of Aran"" },{ ""tomatoes.viewer.rating"": 1 })"
who is the director of The Story of a Cheat?,"db.movies.find({""title"": ""The Story of a Cheat""}, {""directors"": 1})"
what is The Robber Symphony description?,"db.movies.find({""title"": ""The Robber Symphony""}, {""plot"": 1})"
what is the movie Peter Pan description ?,"db.movies.find({""title"": ""Peter Pan""}, {""plot"": 1})"
who is listed as director for Going Hollywood?,"db.movies.find({""title"": ""Going Hollywood""}, {""directors"": 1})"
who stars in the film The Wedding March?,"db.movies.find({""title"": ""The Wedding March""}, {""cast"": 1})"
Who are the starring actors/actresses in the movie Foolish Wives?,"db.movies.find({""title"":""Foolish Wives""}, {""cast"":1})"
who was The Four Horsemen of the Apocalypse written by?,"db.movies.find({""title"": ""The Four Horsemen of the Apocalypse""}, {""writers"": 1})"
the film Love Me Tonight starred which actors?,"db.movies.find({""title"": ""Love Me Tonight""}, {""cast"": 1})"
"the film The Ace of Hearts,  was written by who?","db.movies.find({""title"": ""The Ace of Hearts""}, {""writers"": 1})"
What is the IMDb rating for the movie The Story of Louis Pasteur?,"db.movies.find({""title"": ""The Story of Louis Pasteur""}, {""imdb.rating"": 1})"
What is the production company of the movie The Blood of a Poet?,"db.movies.find({""title"":""The Blood of a Poet""}, {""tomatoes.production"":1})"
How many votes does the movie It Happened One Night have on IMDb?,"db.movies.find({""title"":""It Happened One Night""}, {""imdb.votes"":1})"
What is the running time of Topaze?,"db.movies.find({""title"":""Topaze""}, {""runtime"":1})"
Which films directed by Yasujiro Ozu have the highest ratings?,"db.movies.find({""directors"": 'Yasujiro Ozu', ""imdb.rating"": {""$gt"": 8.5}})"
what type of film is Modern Times?,"db.movies.find({""title"": ""Modern Times""}, {""genres"": 1})"
"the film Going Hollywood,  was written by who?","db.movies.find({""title"": ""Going Hollywood""}, {""writers"": 1})"
who was the writer of Harvest?,"db.movies.find({""title"": ""Harvest""}, {""writers"": 1})"
who wrote Forbidden?,"db.movies.find({""title"": ""Forbidden""}, {""writers"": 1})"
how many awards did the film The Ghost Goes West win?,"db.movies.find({""title"":""The Ghost Goes West""}, {""awards.wins"":1})"
What is the imdbID and genre of the movie 'Der Kaiser von Kalifornien'?,"db.movies.find({""title"": ""Der Kaiser von Kalifornien""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
Who is the lead actress of the movie Les Misèrables ?,"db.movies.find({""title"": ""Les Misèrables""}, {""cast"":{""$slice"": 1},""title"":1})"
How long is the runtime of the movie The Champ ?,"db.movies.find({""title"":""The Champ""}, {""runtime"":1})"
What are the genres this movie King Kong belongs to?,"db.movies.find({""title"":""King Kong""}, {""genres"":1})"
the film Wild and Woolly starred which actors?,"db.movies.find({""title"": ""Wild and Woolly""}, {""cast"": 1})"
who acted in the film Maria Chapdelaine?,"db.movies.find({""title"": ""Maria Chapdelaine""}, {""cast"": 1})"
who's the director of Dekigokoro?,"db.movies.find({""title"": ""Dekigokoro""}, {""directors"": 1})"
What is the production company of Duck Soup?,"db.movies.find({""title"":""Duck Soup""}, {""tomatoes.production"":1})"
who was the writer of the movie Stage Door?,"db.movies.find({""title"": ""Stage Door""}, {""writers"": 1})"
What is the language of the film Roberta?,"db.movies.find({""title"":""Roberta""}, {""languages"":1})"
Can you tell me the total count of films that Coen Brothers has directed?,"db.movies.countDocuments({""directors"":""Coen Brothers""})"
How many audience reviews have been submitted for the movie Carnival in Flanders?,"db.movies.find({ ""title"": ""Carnival in Flanders"" }, { ""tomatoes.viewer.numReviews"": 1 })"
which company produced the film One Night of Love?,"db.movies.find({""title"":""One Night of Love""}, {""tomatoes.production"":1})"
who directed the film Final Accord?,"db.movies.find({""title"": ""Final Accord""}, {""directors"": 1})"
Les Misèrables is a movie written by this person?,"db.movies.find({""title"": ""Les Misèrables""}, {""writers"": 1})"
what was the release year of the movie Romance?,"db.movies.find({""title"": ""Romance""}, {""year"": 1})"
What is the principal film genre that Steven Spielberg focuses on in his directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Steven Spielberg"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the IMDb rating for the film Battleship Potemkin?,"db.movies.find({""title"": ""Battleship Potemkin""}, {""imdb.rating"": 1})"
who is the writer of Swedenhielms Family?,"db.movies.find({""title"": ""Swedenhielms Family""}, {""writers"": 1})"
what was the release date of I Am a Fugitive from a Chain Gang?,"db.movies.find({""title"": ""I Am a Fugitive from a Chain Gang""}, {""released"": 1})"
What is the IMDb ID for the movie Maria Chapdelaine?,"db.movies.find({""title"":""Maria Chapdelaine""}, {""imdb.id"":1})"
What is the language of Regeneration?,"db.movies.find({""title"":""Regeneration""}, {""languages"":1})"
What is the IMDB rating of the movie Hallelujah ?,"db.movies.find({""title"": ""Hallelujah""}, { ""imdb.rating"": 1})"
How long is the runtime of the movie Black Legion ?,"db.movies.find({""title"":""Black Legion""}, {""runtime"":1})"
"the film Mutiny on the Bounty,  was written by who?","db.movies.find({""title"": ""Mutiny on the Bounty""}, {""writers"": 1})"
What is the ID of the movie The Scarlet Empress on IMDB?,"db.movies.find({""title"": ""The Scarlet Empress""}, {""imdb.id"": 1})"
Can you tell me which film genres Sergei Eisenstein has directed?,"db.movies.distinct(""genres"", { ""directors"": ""Sergei Eisenstein"" })"
what is the plot for the movie Greed?,"db.movies.find({""title"": ""Greed""}, {""plot"": 1})"
who is the director that directed La Grande Illusion?,"db.movies.find({""title"": ""La Grande Illusion""}, {""directors"": 1})"
what was the release date of the movie The Ace of Hearts?,"db.movies.find({""title"": ""The Ace of Hearts""}, {""released"": 1})"
the director of It Happened One Night was?,"db.movies.find({""title"": ""It Happened One Night""}, {""directors"": 1})"
Can you provide a longer version of the movie He Who Gets Slapped plot?,"db.movies.find({""title"":""He Who Gets Slapped""}, {""fullplot"":1})"
what is the genre for the movie Flash Gordon?,"db.movies.find({""title"": ""Flash Gordon""}, {""genres"": 1})"
what is the full plot for the film The Garden of Allah?,"db.movies.find({""title"": ""The Garden of Allah""}, {""fullplot"": 1})"
What is the viewer rating for the movie Final Accord on Rotten Tomatoes?,"db.movies.find({""title"":""Final Accord""}, {""tomatoes.viewer.rating"":1})"
What is the full plot summary of the movie The Wind ?,"db.movies.find({""title"": ""The Wind""}, {""plot"": 1})"
What is the text description of the movie Curly Top awards?,"db.movies.find({""title"":""Curly Top""}, {""awards.text"":1})"
what sort of movie is The Count of Monte Cristo?,"db.movies.find({""title"": ""The Count of Monte Cristo""}, {""genres"": 1})"
who is the director for Follow the Fleet?,"db.movies.find({""title"": ""Follow the Fleet""}, {""directors"": 1})"
What type of movie is The Prisoner of Shark Island ?,"db.movies.find({""title"":""The Prisoner of Shark Island""}, {""genres"":1})"
How many comments have been posted by users on the movie The 3 Penny Opera's page on the Mflix platform?,"db.movies.find({ ""title"": ""The 3 Penny Opera"" }, { ""num_mflix_comments"": 1 })"
Who are the main actors in Beau Geste ?,"db.movies.find({ ""title"": ""Beau Geste"" }, { ""cast"": 1})"
The Informer is a film written by this person?,"db.movies.find({""title"": ""The Informer""}, {""writers"": 1})"
What are the genres associated with the movie The Thief of Bagdad ?,"db.movies.find({ ""title"": ""The Thief of Bagdad"" }, { ""genres"": 1})"
how many awards did the film Queen Christina win?,"db.movies.find({""title"":""Queen Christina""}, {""awards.wins"":1})"
What is the IMDb rating for the movie Queen Christina?,"db.movies.find({""title"": ""Queen Christina""}, {""imdb.rating"": 1})"
What is the critical reception of the movie Nanook of the North?,"db.movies.find({""title"":""Nanook of the North""}, {""tomatoes.critic"":1})"
How did the audience and critics receive The Ace of Hearts?,"db.movies.find({""title"":""The Ace of Hearts""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
which person wrote the film The Count of Monte Cristo?,"db.movies.find({""title"": ""The Count of Monte Cristo""}, {""writers"": 1})"
who produced the movie The Jazz Singer?,"db.movies.find({""title"":""The Jazz Singer""}, {""tomatoes.production"":1})"
In what year was the movie The Son of the Sheik released?,"db.movies.find({""title"":""The Son of the Sheik""}, {""year"":1})"
What are the names of all the actors who starred in the movie 'He Who Gets Slapped'?,"db.movies.find({""title"": ""He Who Gets Slapped""}, {""cast"": 1})"
what was the release year of the movie The Docks of New York?,"db.movies.find({""title"": ""The Docks of New York""}, {""year"": 1})"
what kind of film is The Thin Man?,"db.movies.find({""title"": ""The Thin Man""}, {""genres"": 1})"
What is the running time of Broken Lullaby?,"db.movies.find({""title"":""Broken Lullaby""}, {""runtime"":1})"
the movie A Free Soul starred who?,"db.movies.find({""title"": ""A Free Soul""}, {""cast"": 1})"
who is the director for The Wind?,"db.movies.find({""title"": ""The Wind""}, {""directors"": 1})"
What is the box office revenue of the movie Romance in dollars?,"db.movies.find({""title"": ""Romance""}, {""tomatoes.boxOffice"": 1})"
what was the release year of It's a Gift?,"db.movies.find({""title"": ""It's a Gift""}, {""year"": 1})"
who are the actors in the movie Hallelujah?,"db.movies.find({""title"": ""Hallelujah""}, {""cast"": 1})"
Which actor has the most frequent appearances in Tim Burton's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Tim Burton"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
what was the release year of the film Broken Lullaby?,"db.movies.find({""title"": ""Broken Lullaby""}, {""year"": 1})"
What are the most critically acclaimed movies directed by Michelangelo Antonioni?,"db.movies.find({""directors"": 'Michelangelo Antonioni', ""imdb.rating"": {""$gt"": 8.5}})"
who was the writer of the film The Crowd?,"db.movies.find({""title"": ""The Crowd""}, {""writers"": 1})"
What is the full plot summary of the movie Harvest ?,"db.movies.find({""title"": ""Harvest""}, {""plot"": 1})"
what is the movie Night Must Fall about in details?,"db.movies.find({""title"": ""Night Must Fall""}, {""fullplot"": 1})"
what kind of movie is The Docks of New York?,"db.movies.find({""title"": ""The Docks of New York""}, {""genres"": 1})"
Can you provide a detailed summary of the movie The Invisible Ray plot?,"db.movies.find({ ""title"": ""The Invisible Ray"" }, { ""fullplot"": 1})"
who was the film The Navigator written by?,"db.movies.find({""title"": ""The Navigator""}, {""writers"": 1})"
What is the imdbID and genre of the movie 'Swedenhielms Family'?,"db.movies.find({""title"": ""Swedenhielms Family""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
"Our Hospitality, was written by who?","db.movies.find({""title"": ""Our Hospitality""}, {""writers"": 1})"
who are the actors in Toni?,"db.movies.find({""title"": ""Toni""}, {""cast"": 1})"
who acted in the film Who Killed Cock Robin??,"db.movies.find({""title"": ""Who Killed Cock Robin?""}, {""cast"": 1})"
What is the most common genre of movies that David Fincher directs?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""David Fincher"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
who wrote the screenplay for the movie Scarface?,"db.movies.aggregate([ { ""$match"": { ""title"":""Scarface""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
who produced the movie Trouble in Paradise?,"db.movies.find({""title"":""Trouble in Paradise""}, {""tomatoes.production"":1})"
