Questions,Queries
which company produced Steamboat Willie?,"db.movies.find({""title"":""Steamboat Willie""}, {""tomatoes.production"":1})"
Can you share with me the film genres that were helmed by Roberto Rossellini?,"db.movies.distinct(""genres"", { ""directors"": ""Roberto Rossellini"" })"
who are the actors in the film Gold Diggers of 1933?,"db.movies.find({""title"": ""Gold Diggers of 1933""}, {""cast"": 1})"
who stars in the film David Golder?,"db.movies.find({""title"": ""David Golder""}, {""cast"": 1})"
can you describe the plot of Mayerling?,"db.movies.find({""title"": ""Mayerling""}, {""plot"": 1})"
who directed the movie The Music Box?,"db.movies.find({""title"": ""The Music Box""}, {""directors"": 1})"
what is the movie The Thin Man about in details?,"db.movies.find({""title"": ""The Thin Man""}, {""fullplot"": 1})"
In which countries was the movie All Quiet on the Western Front produced?,"db.movies.find({""title"":""All Quiet on the Western Front""}, {""countries"":1})"
What are the countries associated with the movie Gold Diggers of 1933 ?,"db.movies.find({""title"": ""Gold Diggers of 1933""}, {""countries"": 1})"
When was the information about the movie Mèdchen in Uniform last updated?,"db.movies.find({ ""title"": ""Mèdchen in Uniform"" }, { ""lastupdated"": 1})"
Has the movie Twentieth Century won any awards?,"db.movies.find({""title"":""Twentieth Century""}, {""awards.wins"":1})"
what year was Hell's Hinges released?,"db.movies.find({""title"": ""Hell's Hinges""}, {""year"": 1})"
When was the information last updated for the movie The Son of the Sheik ?,"db.movies.find({ ""title"": ""The Son of the Sheik"" },{ ""lastupdated"": 1 })"
Who are the writers of the movie Roberta ?,"db.movies.find({""title"": ""Roberta""}, { ""writers"": 1})"
what kind of film is The Kid Brother?,"db.movies.find({""title"": ""The Kid Brother""}, {""genres"": 1})"
who acted in the film Le grand jeu?,"db.movies.find({""title"": ""Le grand jeu""}, {""cast"": 1})"
What is the MPAA rating of the movie Smilin' Through?,"db.movies.find({""title"":""Smilin' Through""}, {""rated"":1})"
which person wrote the film The Power and the Glory?,"db.movies.find({""title"": ""The Power and the Glory""}, {""writers"": 1})"
who starred in the movie Everybody's Woman?,"db.movies.find({""title"": ""Everybody's Woman""}, {""cast"": 1})"
what is Folies Bergère de Paris about?,"db.movies.find({""title"": ""Folies Bergère de Paris""}, {""plot"": 1})"
What is the ID of the movie Tabu: A Story of the South Seas on IMDB?,"db.movies.find({""title"": ""Tabu: A Story of the South Seas""}, {""imdb.id"": 1})"
Could you tell me the exact number of films that have been directed by Eric Rohmer?,"db.movies.countDocuments({""directors"":""Eric Rohmer""})"
What is the IMDb rating for Modern Times?,"db.movies.find({""title"": ""Modern Times""}, {""imdb.rating"": 1})"
What is the text representation of the awards won and nominations received by the movie Nosferatu?,"db.movies.find({""title"": ""Nosferatu""}, { ""awards.text"": 1})"
How many wins did the movie Top Hat receive?,"db.movies.find({""title"":""Top Hat""}, {""awards.wins"":1})"
what was the genre of the movie Show People?,"db.movies.find({""title"": ""Show People""}, {""genres"": 1})"
What is the production company behind the movie x?,"db.movies.find({""title"": ""Sherlock Jr.""}, { ""tomatoes.production"": 1})"
which person wrote the movie Mèdchen in Uniform?,"db.movies.find({""title"": ""Mèdchen in Uniform""}, {""writers"": 1})"
which actor appeared in most of the movies directed by Francis Ford Coppola?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Francis Ford Coppola"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
what is the movie The Black Cat about in details?,"db.movies.find({""title"": ""The Black Cat""}, {""fullplot"": 1})"
What are the names of all the actors who starred in the movie 'The Dark Angel'?,"db.movies.find({""title"": ""The Dark Angel""}, {""cast"": 1})"
What is the title of the movie with the shortest duration that Clint Eastwood directed?,"db.movies.find({""directors"":""Clint Eastwood""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": 1}).limit(1)"
who's the director of Robin Hood?,"db.movies.find({""title"": ""Robin Hood""}, {""directors"": 1})"
What is the production company of the movie Trouble in Paradise?,"db.movies.find({""title"":""Trouble in Paradise""}, {""tomatoes.production"":1})"
which person wrote The Lives of a Bengal Lancer?,"db.movies.find({""title"": ""The Lives of a Bengal Lancer""}, {""writers"": 1})"
When was the Tomatometer score and other Tomato-related information last updated for the movie The New Gulliver?,"db.movies.find({""title"": ""The New Gulliver""}, { ""tomatoes.lastUpdated"": 1})"
How many audience reviews have been submitted for the movie A Woman of Paris: A Drama of Fate ?,"db.movies.find({ ""title"": ""A Woman of Paris: A Drama of Fate"" },{ ""tomatoes.viewer.numReviews"": 1 })"
Who are the main actors/actresses in the movie Swedenhielms Family?,"db.movies.find({""title"":""Swedenhielms Family""}, {""cast"":1})"
who's the director of White Shadows?,"db.movies.find({""title"": ""White Shadows""}, {""directors"": 1})"
What is the consensus among critics about the movie A Night at the Opera?,"db.movies.find({""title"": ""A Night at the Opera""}, { ""tomatoes.consensus"": 1})"
"The 39 Steps, was written by who?","db.movies.find({""title"": ""The 39 Steps""}, {""writers"": 1})"
what is the full plot for The Gold Rush?,"db.movies.find({""title"": ""The Gold Rush""}, {""fullplot"": 1})"
How did the audience and critics receive the movie Intolerance: Love's Struggle Throughout the Ages?,"db.movies.find({""title"":""Intolerance: Love's Struggle Throughout the Ages""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the runtime and rating for the movie 'Storm Over Asia'?,"db.movies.find({""title"": ""Storm Over Asia""}, {""runtime"": 1, ""rated"": 1})"
What is the language of the movie Three Smart Girls?,"db.movies.find({""title"":""Three Smart Girls""}, {""languages"":1})"
who wrote Dishonored?,"db.movies.find({""title"": ""Dishonored""}, {""writers"": 1})"
In which countries was the movie One Night of Love produced?,"db.movies.find({""title"":""One Night of Love""}, {""countries"":1})"
What is the language of the film The Unknown?,"db.movies.find({""title"":""The Unknown""}, {""languages"":1})"
What is the box office revenue of the movie Scrooge ?,"db.movies.find({""title"": ""Scrooge""}, { ""tomatoes.boxOffice"": 1})"
What is the Metacritic score of the movie The Crowd Roars ?,"db.movies.find({ ""title"": ""The Crowd Roars"" }, { ""metacritic"": 1})"
What is the critical reception of the movie Come and Get It?,"db.movies.find({""title"":""Come and Get It""}, {""tomatoes.critic"":1})"
How many awards did the movie win Upstream ?,"db.movies.find({ ""title"": ""Upstream"" },{ ""awards.wins"": 1 })"
what is the film Romance imdb rating?,"db.movies.find({""title"": ""Romance""}, {""imdb.rating"": 1})"
what was the release year of the movie The Lost Patrol?,"db.movies.find({""title"": ""The Lost Patrol""}, {""year"": 1})"
"Has the movie Salomè won any awards? If so, which ones?","db.movies.find({""title"":""Salomè"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
Could you tell me which movie that Jean Renoir directed has the longest runtime?,"db.movies.find({""directors"":""Jean Renoir""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": -1}).limit(1)"
The Lives of a Bengal Lancer is a movie written by this person?,"db.movies.find({""title"": ""The Lives of a Bengal Lancer""}, {""writers"": 1})"
What type of movie is The Saphead ?,"db.movies.find({""title"":""The Saphead""}, {""genres"":1})"
which company produced the movie The Poor Little Rich Girl?,"db.movies.find({""title"":""The Poor Little Rich Girl""}, {""tomatoes.production"":1})"
who wrote the movie She Done Him Wrong?,"db.movies.find({""title"": ""She Done Him Wrong""}, {""writers"": 1})"
who is the author of The Kid Brother?,"db.movies.find({""title"": ""The Kid Brother""}, {""writers"": 1})"
Which film directed by Claude Chabrol has the longest running time?,"db.movies.find({""directors"":""Claude Chabrol""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": -1}).limit(1)"
What is the running time of Tarzan the Ape Man?,"db.movies.find({""title"":""Tarzan the Ape Man""}, {""runtime"":1})"
Who is the lead actress of the movie Sons of the Desert ?,"db.movies.find({""title"": ""Sons of the Desert""}, {""cast"":{""$slice"": 1},""title"":1})"
what was the release year of Tarzan the Ape Man?,"db.movies.find({""title"": ""Tarzan the Ape Man""}, {""year"": 1})"
How many audience reviews have been submitted for the movie Mary of Scotland ?,"db.movies.find({ ""title"": ""Mary of Scotland"" },{ ""tomatoes.viewer.numReviews"": 1 })"
what kind of film is Miss Lulu Bett?,"db.movies.find({""title"": ""Miss Lulu Bett""}, {""genres"": 1})"
what was the release year of the movie Scarface?,"db.movies.find({""title"": ""Scarface""}, {""year"": 1})"
What is the MPAA rating of the movie Man of Aran?,"db.movies.find({""title"":""Man of Aran""}, {""rated"":1})"
"Has the film King of Jazz won any awards? If so, which ones?","db.movies.find({""title"":""King of Jazz"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
When was the information about the movie Little Women last updated?,"db.movies.find({ ""title"": ""Little Women"" }, { ""lastupdated"": 1})"
what genre is Les vampires?,"db.movies.find({""title"": ""Les vampires""}, {""genres"": 1})"
"Has the film Flesh and the Devil won any awards? If so, which ones?","db.movies.find({""title"":""Flesh and the Devil"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
Who are the main actors/actresses in the movie Camille?,"db.movies.find({""title"":""Camille""}, {""cast"":1})"
How many awards did the movie win China Seas ?,"db.movies.find({ ""title"": ""China Seas"" },{ ""awards.wins"": 1 })"
What is the language of Scarface?,"db.movies.find({""title"":""Scarface""}, {""languages"":1})"
who directed the movie Applause?,"db.movies.find({""title"": ""Applause""}, {""directors"": 1})"
What are the names of all the actors who starred in the movie 'It's a Gift'?,"db.movies.find({""title"": ""It's a Gift""}, {""cast"": 1})"
who wrote San Francisco?,"db.movies.find({""title"": ""San Francisco""}, {""writers"": 1})"
can you describe the plot of Cimarron?,"db.movies.find({""title"": ""Cimarron""}, {""plot"": 1})"
What is the audience rating of the movie The Gay Divorcee ?,"db.movies.find({ ""title"": ""The Gay Divorcee"" },{ ""tomatoes.viewer.rating"": 1 })"
How many viewer reviews did the movie A Woman of Paris: A Drama of Fate receive on Rotten Tomatoes?,"db.movies.find({""title"":""A Woman of Paris: A Drama of Fate""}, {""tomatoes.viewer.numReviews"":1})"
"the movie The Unknown, was written by who?","db.movies.find({""title"": ""The Unknown""}, {""writers"": 1})"
Can you provide more information about the IMDb rating for the movie Mèdchen in Uniform ?,"db.movies.find({""title"":""Mèdchen in Uniform""}, {""imdb"":1})"
Can you provide a detailed summary of the movie Dekigokoro plot?,"db.movies.find({ ""title"": ""Dekigokoro"" }, { ""fullplot"": 1})"
What is the running time of The Saphead?,"db.movies.find({""title"":""The Saphead""}, {""runtime"":1})"
"who stars in the film I Was Born, But...?","db.movies.find({""title"": ""I Was Born, But...""}, {""cast"": 1})"
What is the IMDb rating for the film Little Caesar?,"db.movies.find({""title"": ""Little Caesar""}, {""imdb.rating"": 1})"
What is the production company behind the movie Gold Diggers of 1933 ?,"db.movies.find({""title"": ""Gold Diggers of 1933""}, {""tomatoes.production"": 1})"
What are the countries associated with the movie The Garden of Allah ?,"db.movies.find({""title"": ""The Garden of Allah""}, {""countries"": 1})"
What type of media is He Who Gets Slapped?,"db.movies.find({ ""title"": ""He Who Gets Slapped"" }, { ""type"": 1})"
who produced Rembrandt?,"db.movies.find({""title"":""Rembrandt""}, {""tomatoes.production"":1})"
which person wrote the movie Bad Girl?,"db.movies.find({""title"": ""Bad Girl""}, {""writers"": 1})"
what is the full plot for the film Broken Lullaby?,"db.movies.find({""title"": ""Broken Lullaby""}, {""fullplot"": 1})"
What is the audience rating of the movie The Hurricane ?,"db.movies.find({ ""title"": ""The Hurricane"" },{ ""tomatoes.viewer.rating"": 1 })"
which company produced the film Ruggles of Red Gap?,"db.movies.find({""title"":""Ruggles of Red Gap""}, {""tomatoes.production"":1})"
How many audience reviews have been submitted for the movie The Last Command?,"db.movies.find({ ""title"": ""The Last Command"" }, { ""tomatoes.viewer.numReviews"": 1 })"
what is the full plot for the film Comradeship?,"db.movies.find({""title"": ""Comradeship""}, {""fullplot"": 1})"
What is the rating of the movie Trouble in Paradise ?,"db.movies.find({ ""title"": ""Trouble in Paradise"" }, { ""rated"": 1})"
What is the IMDb ID for the movie The Invisible Man?,"db.movies.find({""title"":""The Invisible Man""}, {""imdb.id"":1})"
what is the film The Man Who Could Work Miracles about?,"db.movies.find({""title"": ""The Man Who Could Work Miracles""}, {""plot"": 1})"
Was the movie M well received by audiences and critics?,"db.movies.find({""title"":""M""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
who is the writer of A Woman of Paris: A Drama of Fate?,"db.movies.find({""title"": ""A Woman of Paris: A Drama of Fate""}, {""writers"": 1})"
What are the genres this movie Camille belongs to?,"db.movies.find({""title"":""Camille""}, {""genres"":1})"
Could you tell me the exact number of films that have been directed by Michelangelo Antonioni?,"db.movies.countDocuments({""directors"":""Michelangelo Antonioni""})"
who was the writer of the movie A Woman of Paris: A Drama of Fate?,"db.movies.find({""title"": ""A Woman of Paris: A Drama of Fate""}, {""writers"": 1})"
who are the actors in the film Sisters of the Gion?,"db.movies.find({""title"": ""Sisters of the Gion""}, {""cast"": 1})"
what sort of movie is Traffic in Souls?,"db.movies.find({""title"": ""Traffic in Souls""}, {""genres"": 1})"
How many awards did the movie win 7th Heaven ?,"db.movies.find({ ""title"": ""7th Heaven"" },{ ""awards.wins"": 1 })"
What is the imdbID and year of release for the movie with a title of 'Der Kaiser von Kalifornien'?,"db.movies.find({""title"": ""Der Kaiser von Kalifornien""}, {""imdb.id"": 1, ""year"": 1, ""_id"": 0})"
Could you tell me the main category of movies that Joel Coen directs?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Joel Coen"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
who stars in Storm Over Asia?,"db.movies.find({""title"": ""Storm Over Asia""}, {""cast"": 1})"
What is the Metacritic score of the movie Hallelujah ?,"db.movies.find({ ""title"": ""Hallelujah"" }, { ""metacritic"": 1})"
which actor appeared in most of the movies directed by Roberto Rossellini?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Roberto Rossellini"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What languages are spoken in the movie Stage Door ?,"db.movies.find({""title"": ""Stage Door""}, { ""languages"": 1})"
Frankenstein is a film written by this person?,"db.movies.find({""title"": ""Frankenstein""}, {""writers"": 1})"
What is the language of the film Curly Top?,"db.movies.find({""title"":""Curly Top""}, {""languages"":1})"
What is the movie The Mummy rating?,"db.movies.find({""title"":""The Mummy""}, {""rated"":1})"
What is the meter score of the movie Night Must Fall according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""Night Must Fall""}, {""tomatoes.viewer.meter"": 1})"
How long is the movie Modern Times in minutes?,"db.movies.find({""title"":""Modern Times""}, {""runtime"":1})"
Which actor has the highest number of appearances in movies directed by Akira Kurosawa?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Akira Kurosawa"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
the director of Scarface was?,"db.movies.find({""title"": ""Scarface""}, {""directors"": 1})"
What is the best-reviewed movie on Rotten Tomatoes that was directed by Louis Malle?,"db.movies.find({""directors"": ""Louis Malle"", ""tomatoes.critic.rating"": {""$exists"": true}}, {""title"": 1, ""_id"": 0}).sort({""tomatoes.critic.rating"": -1}).limit(1)"
Which cinematic productions were directed by Jacques Rivette?,"db.movies.find({""directors"": ""Jacques Rivette""},{""title"":1})"
What languages are spoken in the movie Ben-Hur: A Tale of the Christ?,"db.movies.find({""title"":""Ben-Hur: A Tale of the Christ""}, {""languages"":1})"
What was the release date for the movie The Count of Monte Cristo?,"db.movies.find({""title"":""The Count of Monte Cristo""}, {""released"":1})"
How many wins did the movie 42nd Street receive?,"db.movies.find({""title"":""42nd Street""}, {""awards.wins"":1})"
What is the plot summary of the movie In the Land of the Head Hunters ?,"db.movies.find({ ""title"": ""In the Land of the Head Hunters"" }, { ""plot"": 1})"
who produced Dracula?,"db.movies.find({""title"":""Dracula""}, {""tomatoes.production"":1})"
who starred in the film The Devil Is a Woman?,"db.movies.find({""title"": ""The Devil Is a Woman""}, {""cast"": 1})"
who is listed as director for Robin Hood?,"db.movies.find({""title"": ""Robin Hood""}, {""directors"": 1})"
who produced the film Camille?,"db.movies.find({""title"":""Camille""}, {""tomatoes.production"":1})"
which person wrote The Count of Monte Cristo?,"db.movies.find({""title"": ""The Count of Monte Cristo""}, {""writers"": 1})"
who was the writer of the movie The Cheat?,"db.movies.find({""title"": ""The Cheat""}, {""writers"": 1})"
What is the number of films that Roberto Rossellini has directed?,"db.movies.countDocuments({""directors"":""Roberto Rossellini""})"
what was the genre of the film Sisters of the Gion?,"db.movies.find({""title"": ""Sisters of the Gion""}, {""genres"": 1})"
How many reviews have been submitted for the movie Hallelujah on Rotten Tomatoes?,"db.movies.find({ ""title"": ""Hallelujah"" },{ ""tomatoes.viewer.numReviews"": 1 })"
how many awards did the film This Is My Affair win?,"db.movies.find({""title"":""This Is My Affair""}, {""awards.wins"":1})"
Can you provide more information about the IMDb rating for the movie City Streets ?,"db.movies.find({""title"":""City Streets""}, {""imdb"":1})"
Can you tell me which films were helmed by David Lynch?,"db.movies.find({""directors"": ""David Lynch""},{""title"":1})"
Was the movie Wings well received by audiences?,"db.movies.find({""title"":""Wings""}, {""tomatoes.viewer"":1})"
who was the writer of the film Dr. Jekyll and Mr. Hyde?,"db.movies.find({""title"": ""Dr. Jekyll and Mr. Hyde""}, {""writers"": 1})"
who are the actors in the film The Emperor Jones?,"db.movies.find({""title"": ""The Emperor Jones""}, {""cast"": 1})"
the movie In Old Arizona starred which actors?,"db.movies.find({""title"": ""In Old Arizona""}, {""cast"": 1})"
which company produced the movie Secret Agent?,"db.movies.find({""title"":""Secret Agent""}, {""tomatoes.production"":1})"
What is the production company behind the movie Nanook of the North ?,"db.movies.find({""title"": ""Nanook of the North""}, { ""tomatoes.production"": 1})"
What is the MPAA rating of the film M?,"db.movies.find({""title"":""M""}, {""rated"":1})"
the movie Three Smart Girls was directed by who?,"db.movies.find({""title"": ""Three Smart Girls""}, {""directors"": 1})"
A Midsummer Night's Dream is a movie written by this person?,"db.movies.find({""title"": ""A Midsummer Night's Dream""}, {""writers"": 1})"
Who are the main actors/actresses in the movie The Big Parade?,"db.movies.find({""title"":""The Big Parade""}, {""cast"":1})"
What is the box office revenue of the movie The Guardsman ?,"db.movies.find({""title"": ""The Guardsman""}, { ""tomatoes.boxOffice"": 1})"
who wrote the screenplay for the film Night Must Fall?,"db.movies.aggregate([ { ""$match"": { ""title"":""Night Must Fall""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
How many reviews have been submitted for the movie The New Gulliver on Rotten Tomatoes?,"db.movies.find({ ""title"": ""The New Gulliver"" },{ ""tomatoes.viewer.numReviews"": 1 })"
What is the MPAA rating of the movie The Last Command?,"db.movies.find({""title"":""The Last Command""}, {""rated"":1})"
What type of movie is The Black Cat ?,"db.movies.find({""title"":""The Black Cat""}, {""genres"":1})"
who is the director of Alice Adams?,"db.movies.find({""title"": ""Alice Adams""}, {""directors"": 1})"
What is the production company of Go West?,"db.movies.find({""title"":""Go West""}, {""tomatoes.production"":1})"
what is the full plot for the movie David Copperfield?,"db.movies.find({""title"": ""David Copperfield""}, {""fullplot"": 1})"
What are the highest-rated Thriller movies in the database?,"db.movies.find({""genres"": ""Thriller""}).sort({""imdb.rating"": -1}).limit(10)"
who's the director of The Last Command?,"db.movies.find({""title"": ""The Last Command""}, {""directors"": 1})"
What are the names of all the actors who starred in the movie 'Under the Roofs of Paris'?,"db.movies.find({""title"": ""Under the Roofs of Paris""}, {""cast"": 1})"
who acted in the film I Am a Fugitive from a Chain Gang?,"db.movies.find({""title"": ""I Am a Fugitive from a Chain Gang""}, {""cast"": 1})"
The Wedding March was directed by who?,"db.movies.find({""title"": ""The Wedding March""}, {""directors"": 1})"
Who are the starring actors/actresses in the movie The Four Horsemen of the Apocalypse?,"db.movies.find({""title"":""The Four Horsemen of the Apocalypse""}, {""cast"":1})"
who stars in the movie Hallelujah?,"db.movies.find({""title"": ""Hallelujah""}, {""cast"": 1})"
who stars in Mutiny on the Bounty?,"db.movies.find({""title"": ""Mutiny on the Bounty""}, {""cast"": 1})"
How did the audience and critics receive the film Dishonored?,"db.movies.find({""title"":""Dishonored""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
what is Dekigokoro about?,"db.movies.find({""title"": ""Dekigokoro""}, {""plot"": 1})"
What is the running time of the movie The Last of the Mohicans?,"db.movies.find({""title"":""The Last of the Mohicans""}, {""runtime"":1})"
Which actor has the greatest number of roles in Ridley Scott's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Ridley Scott"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
who is the author of The Saphead?,"db.movies.find({""title"": ""The Saphead""}, {""writers"": 1})"
The Mummy is a film written by this person?,"db.movies.find({""title"": ""The Mummy""}, {""writers"": 1})"
Can you provide a detailed summary of the movie Carnival in Flanders plot?,"db.movies.find({ ""title"": ""Carnival in Flanders"" }, { ""fullplot"": 1})"
In what year was the movie The Crusades released ?,"db.movies.find({ ""title"": ""The Crusades"" }, { ""year"": 1})"
who wrote the screenplay for The Song of Night?,"db.movies.aggregate([ { ""$match"": { ""title"":""The Song of Night""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
I'm curious about the films that were directed by Ingmar Bergman. Can you name them?,"db.movies.find({""directors"": ""Ingmar Bergman""},{""title"":1})"
What is the runtime and rating for the movie 'Disraeli'?,"db.movies.find({""title"": ""Disraeli""}, {""runtime"": 1, ""rated"": 1})"
who acted in the movie Three Ages?,"db.movies.find({""title"": ""Three Ages""}, {""cast"": 1})"
How many audience reviews have been submitted for the movie Little Caesar?,"db.movies.find({ ""title"": ""Little Caesar"" }, { ""tomatoes.viewer.numReviews"": 1 })"
